ID,requester_name,requester_email,requester_phone,user_ID,mandal_ID,status,fee_amount,paid_amount,paid_date,payment_mode,payment_reference,payment_verified,payment_verified_by_ID,ledger_entry_ID,remarks,createdAt,createdBy,modifiedAt,modifiedBy
13925497-1333-4f08-8b18-34f05771658c,Dharmesh Nahar,dharmesh.nahar14@gmail.com,+919197239905,ad5aaa97-d734-4895-bdd4-39af79b71b28,27036764-62df-458f-b580-6e512cf5b9c7,payment_done,145.61,145.61,2023-04-19,cash,CASH-4254,false,,,,2024-09-15T18:30:00.000Z,system,2023-07-24T18:30:00.000Z,system
13925498-9f6b-4881-9888-e163c92edb6c,Swati Parekh,swati.parekh67@gmail.com,+917866179751,f0ffef32-634c-4914-a54a-e0059c0850f0,36770777-0a4d-45b0-89d4-6191567a75c5,payment_done,164.15,164.15,2024-07-15,cash,CASH-4402,false,,,,2024-12-05T18:30:00.000Z,system,2024-05-07T18:30:00.000Z,system
13925499-a117-4c6b-9b00-e2b5da20f7be,Bhavesh Zaveri,bhavesh.zaveri1@gmail.com,+917054758244,5750f5b8-286c-4973-bdaf-5f62d593fa0b,3677078a-98cb-4d73-b193-55fc664d5131,submitted,434.09,,,,,false,,,,2024-11-16T18:30:00.000Z,system,2024-05-20T18:30:00.000Z,system
13925500-d56d-4cb2-a70b-81cbe08baae2,Jayesh Mehta,jayesh.mehta66@gmail.com,+917322329612,e48b01d5-4ee8-4284-971b-cf0a9d483249,27036764-62df-458f-b580-6e512cf5b9c7,payment_done,357.73,357.73,2024-04-12,cash,CASH-5327,false,,,,2024-04-20T18:30:00.000Z,system,2023-02-21T18:30:00.000Z,system
13925501-792f-45dc-b358-8d569c2e646b,Chirag Sheth,chirag.sheth6@gmail.com,+918247976542,e2b16b0f-f477-41e5-bc11-6f77c147b182,36770777-0a4d-45b0-89d4-6191567a75c5,payment_done,270.40,270.40,2023-04-29,upi,UPI-936879728716,false,,,,2023-02-16T18:30:00.000Z,system,2023-01-10T18:30:00.000Z,system
13925502-5670-4409-a146-4ff3933180c3,Dhara Doshi,dhara.doshi85@gmail.com,+919779696951,2153447c-15d1-44d1-98e5-dec863b2e9ee,3677078a-98cb-4d73-b193-55fc664d5131,payment_done,457.81,457.81,2024-09-28,cash,CASH-2522,false,,,,2024-01-17T18:30:00.000Z,system,2023-12-17T18:30:00.000Z,system
13925503-aaea-49d0-aa05-27c49f33fd50,Mukesh Sanghvi,mukesh.sanghvi52@gmail.com,+918719061621,9dcc8948-9ee9-4722-a708-334441dc3567,27036764-62df-458f-b580-6e512cf5b9c7,cancelled,254.29,,,,,false,,,Moved to different city,2024-03-07T18:30:00.000Z,system,2024-10-26T18:30:00.000Z,system
13925504-284b-48d0-a08f-68197f27d13e,Jhanvi Chordia,jhanvi.chordia22@gmail.com,+917485574228,ac59c299-25ec-418b-ae1c-9816c37a1e46,36770777-0a4d-45b0-89d4-6191567a75c5,rejected,123.46,,,,,false,,,Not meeting age criteria,2023-04-17T18:30:00.000Z,system,2024-03-02T18:30:00.000Z,system
13925505-51b9-4dfd-8b55-a506e1fa2bb9,Meera Kapadia,meera.kapadia62@gmail.com,+919443593434,b29822c6-bd91-4be9-881b-298e5534f036,3677078a-98cb-4d73-b193-55fc664d5131,approved,251.90,251.90,2024-01-03,bank_transfer,CASH-1472,true,11905383-b787-4e90-b973-ba9217cb55e5,11216095-7a0b-4377-94ec-6cb39f53609b,,2024-12-01T18:30:00.000Z,system,2023-05-14T18:30:00.000Z,system
13925506-a8be-4f56-891c-9d94d7c4184e,Nirav Bhandari,nirav.bhandari15@gmail.com,+918766452453,400834c3-90ca-4bea-abec-7d2efb2b7e54,27036764-62df-458f-b580-6e512cf5b9c7,payment_done,361.99,361.99,2023-01-13,bank_transfer,CASH-9598,false,,,,2024-08-13T18:30:00.000Z,system,2024-08-01T18:30:00.000Z,system
13925507-dff3-4fa5-a6e9-f66064ae4585,Rajesh Soni,rajesh.soni44@gmail.com,+919229516148,0080c5a7-d919-443e-9279-b973611d3330,36770777-0a4d-45b0-89d4-6191567a75c5,approved,138.10,138.10,2024-11-08,bank_transfer,CASH-5072,true,11905383-b787-4e90-b973-ba9217cb55e5,11216097-47a1-462e-a4a7-a6ffd3da74b3,,2024-05-08T18:30:00.000Z,system,2023-12-21T18:30:00.000Z,system
13925508-caec-4b0d-a0a4-d753dd317ed5,Pooja Soni,pooja.soni83@gmail.com,+918653032484,f1653b0f-549d-474c-9807-2e86f2d4739d,3677078a-98cb-4d73-b193-55fc664d5131,cancelled,323.34,,,,,false,,,Changed mind,2023-02-25T18:30:00.000Z,system,2023-01-12T18:30:00.000Z,system
13925509-df5e-42a5-8457-64057a71d306,Neha Sheth,neha.sheth65@gmail.com,+919015580633,623da74c-c55a-4318-b6ca-f42f0274f8a6,27036764-62df-458f-b580-6e512cf5b9c7,submitted,400.57,,,,,false,,,,2023-11-25T18:30:00.000Z,system,2023-09-04T18:30:00.000Z,system
13925510-2882-4efe-9984-7b86d219ea15,Bhavesh Parekh,bhavesh.parekh7@gmail.com,+919177244907,278ec9be-8d2a-49c7-a4f4-6f537a810980,36770777-0a4d-45b0-89d4-6191567a75c5,rejected,251.46,,,,,false,,,Not meeting age criteria,2023-03-22T18:30:00.000Z,system,2024-04-15T18:30:00.000Z,system
13925511-911a-41ec-bf9f-e4f2d783be25,Manish Chordia,manish.chordia74@gmail.com,+918924568778,e57ad31c-4edc-4cf9-b212-5b8d811a0787,3677078a-98cb-4d73-b193-55fc664d5131,under_review,278.83,278.83,2023-05-02,cash,CASH-1291,true,11905383-b787-4e90-b973-ba9217cb55e5,,,2023-04-16T18:30:00.000Z,system,2024-02-18T18:30:00.000Z,system
13925512-ea15-4be5-905e-814be3d20c5e,Jigar Jain,jigar.jain72@gmail.com,+919358361363,71a3039c-7d31-4071-bf8c-7fc89fe4891f,27036764-62df-458f-b580-6e512cf5b9c7,submitted,416.71,,,,,false,,,,2024-09-25T18:30:00.000Z,system,2024-10-14T18:30:00.000Z,system
13925513-5887-4cf1-b182-790f2c70486e,Amit Chheda,amit.chheda72@gmail.com,+917888419332,16453c9d-6f6d-4557-a722-eea984d0c63a,36770777-0a4d-45b0-89d4-6191567a75c5,payment_done,245.34,245.34,2023-02-25,upi,UPI-601842522128,false,,,,2023-12-06T18:30:00.000Z,system,2024-07-27T18:30:00.000Z,system
