ID,email,full_name,first_name,middle_name,last_name,phone,alternate_phone,whatsapp_number,dob,gender,marital_status,blood_group,nationality,mother_tongue,address_line1,address_line2,city,state,pincode,country_code,father_name,mother_name,spouse_name,num_children,family_members_in_mandal,education,profession,organization,designation,annual_income,gotra,nakshatra,rashi,kuldevi,native_place,previous_mandal,reference_member,skills,hobbies,volunteer_interests,languages_known,emergency_contact_name,emergency_contact_phone,emergency_contact_relation,medical_conditions,dietary_preference,role,createdAt,createdBy,modifiedAt,modifiedBy
11905383-b787-4e90-b973-ba9217cb55e5,hitesh.shah@gmail.com,Hitesh Shah,Hitesh,Bharatbhai,Shah,+917107420369,+918051802512,+917107420369,1984-12-29,male,married,B_pos,Indian,Gujarati,"310, Ghatlodia",Near Hospital,Ahmedabad,Gujarat,380004,055,Mahesh Raju Shah,Komal Suresh Shah,Nidhi Shah,0,4,ssc,Surgeon,Wipro,Analyst,above_25L,Kashyap,Ashwini,Vrishabh,Chamunda Devi,Kumbharia,,,"Leadership, Project Management, Cooking, Video Editing","Photography, Painting","Event Organization, Stage Decoration","Sanskrit, English, Rajasthani, Hindi",Pranav Shah,+918445662585,Father,Asthma,jain,platform_admin,2022-04-10T18:30:00.000Z,system,2024-01-03T18:30:00.000Z,system
11650404-f2c5-4c67-abf9-4e271a52515c,paresh.jain1@gmail.com,Paresh Jain,Paresh,Rameshbhai,Jain,+917338444264,+919699987374,+917338444264,1996-12-23,male,widowed,AB_neg,Indian,Gujarati,"167, Naranpura",Near Jain Derasar,Ahmedabad,Gujarat,380007,055,Rajesh Ramesh Jain,Tanvi Kiran Jain,,0,3,ssc,Doctor,Infosys,Associate,_10L_25L,Bharadwaj,Pushya,Vrishabh,Khodiyar Mata,Songadh,,,"First Aid, Photography, Financial Planning, Sports Coaching","Meditation, Chess, Garba","Cultural Programs, Sports Events, Kitchen Management","Rajasthani, Hindi, Marathi, Prakrit",Kamlesh Jain,+918985392498,Sister,None,jain,member,2023-12-06T18:30:00.000Z,system,2024-07-24T18:30:00.000Z,system
11650405-99a5-4092-ba11-cc9ff73722f0,mahesh.mehta2@gmail.com,Mahesh Mehta,Mahesh,Nareshbhai,Mehta,+917284277889,,+917284277889,1992-01-04,male,widowed,AB_neg,Indian,Gujarati,"271, Vastrapur",Near Hospital,Ahmedabad,Gujarat,380027,055,Tejas Bharat Mehta,Kajal Vinu Mehta,,0,2,diploma,Jeweller,Arvind Ltd,Proprietor,_10L_25L,Gautam,Pushya,Meen,Amba Mata,Modasa,,,"Teaching, Video Editing, Sports Coaching, First Aid","Meditation, Yoga, Music","Kitchen Management, Event Organization","Hindi, Rajasthani",Kamlesh Mehta,+919922644564,Sister,Asthma,jain,member,2023-01-26T18:30:00.000Z,system,2024-09-02T18:30:00.000Z,system
11650406-58b7-408c-9997-8de26bff50ca,jitesh.sanghvi3@gmail.com,Jitesh Sanghvi,Jitesh,Sureshbhai,Sanghvi,+919752909971,,+919752909971,1991-12-20,male,married,O_pos,Indian,Gujarati,"65, Satellite",Near Bus Stand,Ahmedabad,Gujarat,380019,055,Nirav Vinu Sanghvi,Minal Pravin Sanghvi,Urvi Sanghvi,1,1,graduate,Civil Engineer,Self Employed,Consultant,_1L_3L,Bharadwaj,Uttara Ashadha,Simha,Amba Mata,Dholka,,Sanjay Bagadia,"Cooking, Social Media Marketing","Gardening, Reading, Painting, Cooking","Event Organization, Kitchen Management","Prakrit, English, Hindi",Jitesh Sanghvi,+918034535593,Spouse,Asthma,jain,member,2023-05-13T18:30:00.000Z,system,2023-03-12T18:30:00.000Z,system
11650407-1655-473a-9d02-88834368cf8d,nilesh.doshi4@gmail.com,Nilesh Doshi,Nilesh,Arvindbhai,Doshi,+919605301030,,+919605301030,2003-09-02,male,married,B_neg,Indian,Gujarati,"243, Ghatlodia",Near Railway Station,Ahmedabad,Gujarat,380009,055,Nirav Ashok Doshi,Nidhi Suresh Doshi,Komal Doshi,0,4,diploma,Bank Manager,Arvind Ltd,Supervisor,above_25L,Bharadwaj,Pushya,Kark,Ambika Devi,Bhavnagar,,Vaibhav Kapadia,"Teaching, Web Development","Cricket, Badminton","Event Organization, Logistics, Kitchen Management","Prakrit, English",Nilesh Doshi,+919208283728,Mother,None,jain,member,2023-05-13T18:30:00.000Z,system,2023-08-08T18:30:00.000Z,system
11650408-8d4f-49f0-822b-d7363b80e47d,ketan.sheth5@gmail.com,Ketan Sheth,Ketan,Dineshbhai,Sheth,+919830309370,,+919830309370,1984-05-07,male,married,O_pos,Indian,Gujarati,"85, Paldi",Near Garden,Ahmedabad,Gujarat,380058,055,Hitesh Kiran Sheth,Shruti Raju Sheth,Dhara Sheth,1,4,ssc,Chartered Accountant,L&T,Manager,above_25L,Jambu,Uttara Bhadrapada,Vrishabh,Chamunda Devi,Shankheshwar,,Hiten Jain,"Video Editing, Financial Planning","Photography, Meditation, Cricket","Transportation, Kitchen Management","Rajasthani, Marathi",Hitesh Sheth,+917400560567,Mother,Diabetes,jain,member,2023-05-13T18:30:00.000Z,system,2024-05-07T18:30:00.000Z,system
11650409-0d0e-4a1a-9589-af219484a1e1,chirag.vora6@gmail.com,Chirag Vora,Chirag,Manubhai,Vora,+918816803306,+919387006772,+918816803306,1992-10-17,male,married,B_pos,Indian,Gujarati,"136, Vastrapur",Near Garden,Ahmedabad,Gujarat,380009,055,Dharmesh Kanti Vora,Dhara Jayanti Vora,Jhanvi Vora,1,0,post_graduate,Chartered Accountant,ONGC,Coordinator,_3L_5L,Jambu,Bharani,Mesh,Momai Mata,Unjha,,Aniket Zaveri,"First Aid, Financial Planning","Painting, Cricket","Logistics, Social Media, Kitchen Management","Hindi, Marathi, Rajasthani, Gujarati",Mihir Vora,+917352116052,Sister,Allergies - dust,jain,member,2022-09-25T18:30:00.000Z,system,2023-07-29T18:30:00.000Z,system
11650410-26a2-47d1-afa7-f87c17b453c2,darshan.zaveri7@gmail.com,Darshan Zaveri,Darshan,Hasmukhbhai,Zaveri,+917040009587,,+917040009587,1983-04-03,male,widowed,A_neg,Indian,Gujarati,"251, Navrangpura",Near Hospital,Ahmedabad,Gujarat,380021,055,Jitesh Naresh Zaveri,Chetna Pravin Zaveri,,0,3,post_graduate,Dentist,Sun Pharma,Proprietor,_10L_25L,Bharadwaj,Pushya,Kanya,Bhavani Mata,Pavagadh,,Sagar Chheda,"Project Management, Graphic Design, Teaching, Leadership","Reading, Chess, Music, Garba","Kitchen Management, Stage Decoration, Registration","Gujarati, Rajasthani",Tejas Zaveri,+917667643690,Brother,None,vegetarian,member,2022-08-04T18:30:00.000Z,system,2023-12-18T18:30:00.000Z,system
11650411-18c3-4493-9711-9f740eecf45b,dharmesh.parekh8@gmail.com,Dharmesh Parekh,Dharmesh,Pravinbhai,Parekh,+917015228622,,+917015228622,1981-12-23,male,married,AB_pos,Indian,Gujarati,"378, Satellite",Near School,Ahmedabad,Gujarat,380051,055,Jigar Hasmukh Parekh,Shruti Dinesh Parekh,Meera Parekh,0,2,diploma,Surgeon,Cadila Healthcare,Coordinator,_3L_5L,Bharadwaj,Krittika,Meen,Saraswati Devi,Modasa,,Paresh Sheth,"Financial Planning, Video Editing, Sports Coaching, Public Speaking","Cooking, Swimming, Reading","Logistics, Cultural Programs","Rajasthani, Gujarati",Chintan Parekh,+919404681399,Sister,Diabetes,jain,member,2022-06-16T18:30:00.000Z,system,2023-07-01T18:30:00.000Z,system
11650412-36e5-4f89-b44f-b4ca88c9f8b3,jayesh.modi9@gmail.com,Jayesh Modi,Jayesh,Kantibhai,Modi,+918643004186,+919021598245,+918643004186,1984-11-06,male,married,B_neg,Indian,Gujarati,"198, Prahlad Nagar",Near Railway Station,Ahmedabad,Gujarat,380061,055,Sagar Ramesh Modi,Chetna Bharat Modi,Shruti Modi,2,0,diploma,Bank Manager,HDFC Bank,Associate,_5L_10L,Kashyap,Shravana,Kark,Khodiyar Mata,Bhavnagar,,Ravi Sanghvi,"Leadership, Cooking, Video Editing","Cycling, Music, Cooking, Reading",Registration,"Marathi, English",Mahesh Modi,+917465585404,Spouse,None,jain,member,2022-11-18T18:30:00.000Z,system,2024-03-22T18:30:00.000Z,system
